num_qubits,depth,depth_multiplier,entanglement,noise_type,error_rate,observable_name,x_noisy,x_ideal
6,6,1,circular,amplitude_damping,0.01,ZZZZZZ,-0.047057678514490865,-0.04705767851449106
6,6,1,circular,amplitude_damping,0.02,ZZZZZZ,0.005552035280492543,0.002367496271397443
6,6,1,circular,amplitude_damping,0.05,ZZZZZZ,0.01946010516634187,0.019460105166341772
6,8,1,linear,depolarizing,0.001,ZZZZZZ,-0.014957949654127861,-0.020047936982890792
6,8,1,linear,depolarizing,0.005,ZZZZZZ,-0.00574677480548786,-0.03546966718696554
6,8,1,linear,depolarizing,0.01,ZZZZZZ,-1.0483726254419817e-05,-0.08716534458376558
6,8,1,linear,depolarizing,0.02,ZZZZZZ,0.00013351655865500092,0.04336750898803278
6,8,1,linear,depolarizing,0.05,ZZZZZZ,3.747065565420753e-05,0.004776039503478914
6,8,1,linear,amplitude_damping,0.001,ZZZZZZ,-0.10325197914871835,-0.10869286430618978
6,8,1,linear,amplitude_damping,0.005,ZZZZZZ,0.0005652011507110768,-0.0027913042563373
6,8,1,linear,amplitude_damping,0.01,ZZZZZZ,-0.04656680706987738,-0.05073142126725875
6,8,1,linear,amplitude_damping,0.02,ZZZZZZ,0.12200338477263284,0.12200338477263292
6,8,1,linear,amplitude_damping,0.05,ZZZZZZ,0.002425256643493221,0.0024252566434932385
6,8,1,full,depolarizing,0.001,ZZZZZZ,0.008749637363620059,0.027844165088450962
6,8,1,full,depolarizing,0.005,ZZZZZZ,0.008608578796569802,0.025010132208266707
6,8,1,full,depolarizing,0.01,ZZZZZZ,-1.358964264949053e-06,-0.026980129921546202
6,8,1,full,depolarizing,0.02,ZZZZZZ,-2.8630915931485146e-08,0.21854095630682036
6,8,1,full,depolarizing,0.05,ZZZZZZ,-2.244050605060277e-11,0.07319940173932135
6,8,1,full,amplitude_damping,0.001,ZZZZZZ,-0.12470584079540434,-0.12990306571887933
6,8,1,full,amplitude_damping,0.005,ZZZZZZ,0.007343547066217622,0.009753833680584181
6,8,1,full,amplitude_damping,0.01,ZZZZZZ,0.10974504428882326,0.17358751281979778
6,8,1,full,amplitude_damping,0.02,ZZZZZZ,-0.020189763393881677,-0.020189763393881628
6,8,1,full,amplitude_damping,0.05,ZZZZZZ,-0.01113713605992136,-0.0668335400081036
6,8,1,circular,depolarizing,0.001,ZZZZZZ,0.10396638675519841,0.1644652139362605
6,8,1,circular,depolarizing,0.005,ZZZZZZ,-0.07362371486212758,-0.23409177715007037
6,8,1,circular,depolarizing,0.01,ZZZZZZ,-8.843563370015267e-06,0.00019592051026959267
6,8,1,circular,depolarizing,0.02,ZZZZZZ,-0.00019284051803303455,-0.014755087258482898
6,8,1,circular,depolarizing,0.05,ZZZZZZ,8.107403637325206e-14,-0.2758464635391711
6,8,1,circular,amplitude_damping,0.001,ZZZZZZ,-0.14813821589485343,-0.14813821589485343
6,8,1,circular,amplitude_damping,0.005,ZZZZZZ,0.002687244168964195,0.0011204881233482789
6,8,1,circular,amplitude_damping,0.01,ZZZZZZ,-0.001534272787016254,-0.00023057089966077755
6,8,1,circular,amplitude_damping,0.02,ZZZZZZ,0.000755504211118592,-0.007972456735137239
6,8,1,circular,amplitude_damping,0.05,ZZZZZZ,0.018283895116888133,0.018283895116888063
6,10,1,linear,depolarizing,0.001,ZZZZZZ,-0.02492929968729559,-0.04412122121016672
6,10,1,linear,depolarizing,0.005,ZZZZZZ,0.030505823908297616,0.11473001648552607
6,10,1,linear,depolarizing,0.01,ZZZZZZ,-0.001725484913261634,-0.2649779564490444
6,10,1,linear,depolarizing,0.02,ZZZZZZ,-9.074877308060982e-05,0.08277734274826974
6,10,1,linear,depolarizing,0.05,ZZZZZZ,-6.28648802784848e-07,-0.03795859215078193
6,10,1,linear,amplitude_damping,0.001,ZZZZZZ,0.17222768548586725,0.17222768548586734
6,10,1,linear,amplitude_damping,0.005,ZZZZZZ,0.0010395106367143518,-0.0012358342727163962
6,10,1,linear,amplitude_damping,0.01,ZZZZZZ,0.07269171309321634,0.07269171309321634
6,10,1,linear,amplitude_damping,0.02,ZZZZZZ,-0.0023566776754848397,0.019152207237859358
6,10,1,linear,amplitude_damping,0.05,ZZZZZZ,0.05866494899300486,0.05866494899300461
6,10,1,full,depolarizing,0.001,ZZZZZZ,-0.1097734057849937,-0.1456539368019954
6,10,1,full,depolarizing,0.005,ZZZZZZ,-0.0005285895200279837,-0.10928932228200341
6,10,1,full,depolarizing,0.01,ZZZZZZ,-0.0013181840215471044,-0.0386382363928585
6,10,1,full,depolarizing,0.02,ZZZZZZ,2.6004627270981295e-11,0.16929389809831738
6,10,1,full,depolarizing,0.05,ZZZZZZ,2.39875836696192e-06,0.02990328230357322
6,10,1,full,amplitude_damping,0.001,ZZZZZZ,0.22185353193671947,0.2348443030143529
6,10,1,full,amplitude_damping,0.005,ZZZZZZ,-0.05965448354949754,-0.059654483549497594
6,10,1,full,amplitude_damping,0.01,ZZZZZZ,-0.01519848532107264,-0.01720169877949255
6,10,1,full,amplitude_damping,0.02,ZZZZZZ,-0.05172706635205257,-0.07346809338138059
6,10,1,full,amplitude_damping,0.05,ZZZZZZ,0.0002381454436319562,0.00023814544363227885
6,10,1,circular,depolarizing,0.001,ZZZZZZ,0.12114735193680506,0.15264515939760137
